Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.35     0.00  1999778     0.00     0.00  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::front()
  0.00      2.35     0.00  1999778     0.00     0.00  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::pop_front()
  0.00      2.35     0.00  1999778     0.00     0.00  std::queue<BinTreeNode<int>*, std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> > >::pop()
  0.00      2.35     0.00  1999778     0.00     0.00  std::queue<BinTreeNode<int>*, std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> > >::push(BinTreeNode<int>* const&)
  0.00      2.35     0.00  1999778     0.00     0.00  std::queue<BinTreeNode<int>*, std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> > >::front()
  0.00      2.35     0.00  1000000     0.00     0.00  std::random_device::operator()()
  0.00      2.35     0.00  1000000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      2.35     0.00  1000000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      2.35     0.00  1000000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      2.35     0.00   561475     0.00     0.00  BinTree<int>::RotateR(BinTreeNode<int>*)
  0.00      2.35     0.00   537036     0.00     0.00  BinTree<int>::RotateL(BinTreeNode<int>*)
  0.00      2.35     0.00   175213     0.00     0.00  BinTree<int>::RotateLR(BinTreeNode<int>*)
  0.00      2.35     0.00   175049     0.00     0.00  BinTree<int>::RotateRL(BinTreeNode<int>*)
  0.00      2.35     0.00   125086     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      2.35     0.00    62582     0.00     0.00  std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**>::_M_set_node(BinTreeNode<int>***)
  0.00      2.35     0.00    62582     0.00     0.00  std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**>::_S_buffer_size()
  0.00      2.35     0.00    31249     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>*>::deallocate(BinTreeNode<int>**, unsigned long)
  0.00      2.35     0.00    31249     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>*>::allocate(unsigned long, void const*)
  0.00      2.35     0.00    31249     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>*>::max_size() const
  0.00      2.35     0.00    31249     0.00     0.00  std::_Deque_base<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_allocate_node()
  0.00      2.35     0.00    31249     0.00     0.00  std::_Deque_base<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_deallocate_node(BinTreeNode<int>**)
  0.00      2.35     0.00    31249     0.00     0.00  std::_Deque_base<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_get_Tp_allocator()
  0.00      2.35     0.00    31249     0.00     0.00  std::allocator_traits<std::allocator<BinTreeNode<int>*> >::deallocate(std::allocator<BinTreeNode<int>*>&, BinTreeNode<int>**, unsigned long)
  0.00      2.35     0.00    31249     0.00     0.00  std::allocator_traits<std::allocator<BinTreeNode<int>*> >::allocate(std::allocator<BinTreeNode<int>*>&, unsigned long)
  0.00      2.35     0.00    31246     0.00     0.00  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_pop_front_aux()
  0.00      2.35     0.00    31246     0.00     0.00  void std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_push_back_aux<BinTreeNode<int>* const&>(BinTreeNode<int>* const&)
  0.00      2.35     0.00    31246     0.00     0.00  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_reserve_map_at_back(unsigned long)
  0.00      2.35     0.00      126     0.00     0.00  BinTreeNode<int>*** std::__niter_base<BinTreeNode<int>***>(BinTreeNode<int>***)
  0.00      2.35     0.00      126     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      2.35     0.00       85     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      2.35     0.00       84     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      2.35     0.00       84     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      2.35     0.00       84     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      2.35     0.00       84     0.00     0.00  BinTreeNode<int>*** std::__miter_base<BinTreeNode<int>***>(BinTreeNode<int>***)
  0.00      2.35     0.00       84     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<int*>(std::move_iterator<int*>)
  0.00      2.35     0.00       84     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      2.35     0.00       84     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*)
  0.00      2.35     0.00       64     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.35     0.00       63     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      2.35     0.00       47     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.35     0.00       46     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>**>::new_allocator()
  0.00      2.35     0.00       46     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>**>::~new_allocator()
  0.00      2.35     0.00       46     0.00     0.00  std::_Deque_base<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_get_Tp_allocator() const
  0.00      2.35     0.00       46     0.00     0.00  std::_Deque_base<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_get_map_allocator() const
  0.00      2.35     0.00       46     0.00     0.00  std::allocator<BinTreeNode<int>**>::allocator<BinTreeNode<int>*>(std::allocator<BinTreeNode<int>*> const&)
  0.00      2.35     0.00       46     0.00     0.00  std::allocator<BinTreeNode<int>**>::~allocator()
  0.00      2.35     0.00       42     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      2.35     0.00       42     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      2.35     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      2.35     0.00       42     0.00     0.00  BinTreeNode<int>*** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<BinTreeNode<int>**>(BinTreeNode<int>** const*, BinTreeNode<int>** const*, BinTreeNode<int>***)
  0.00      2.35     0.00       42     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      2.35     0.00       42     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      2.35     0.00       42     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      2.35     0.00       42     0.00     0.10  std::deque<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_reallocate_map(unsigned long, bool)
  0.00      2.35     0.00       42     0.00     0.00  BinTreeNode<int>*** std::__copy_move_a<false, BinTreeNode<int>***, BinTreeNode<int>***>(BinTreeNode<int>***, BinTreeNode<int>***, BinTreeNode<int>***)
  0.00      2.35     0.00       42     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      2.35     0.00       42     0.00     0.00  BinTreeNode<int>*** std::__copy_move_a2<false, BinTreeNode<int>***, BinTreeNode<int>***>(BinTreeNode<int>***, BinTreeNode<int>***, BinTreeNode<int>***)
  0.00      2.35     0.00       42     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      2.35     0.00       42     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      2.35     0.00       42     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      2.35     0.00       42     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      2.35     0.00       42     0.00     0.00  BinTreeNode<int>*** std::copy<BinTreeNode<int>***, BinTreeNode<int>***>(BinTreeNode<int>***, BinTreeNode<int>***, BinTreeNode<int>***)
  0.00      2.35     0.00       42     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      2.35     0.00       23     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>**>::deallocate(BinTreeNode<int>***, unsigned long)
  0.00      2.35     0.00       23     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>**>::allocate(unsigned long, void const*)
  0.00      2.35     0.00       23     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>**>::max_size() const
  0.00      2.35     0.00       23     0.00     0.00  std::_Deque_base<BinTreeNode<int>*, std::allocator<BinTreeNode<int>*> >::_M_allocate_map(unsigned long)
  0.00      2.35     0.00       23     0.00     0.00  std::allocator_traits<std::allocator<BinTreeNode<int>**> >::deallocate(std::allocator<BinTreeNode<int>**>&, BinTreeNode<int>***, unsigned long)
  0.00      2.35     0.00       23     0.00     0.00  std::allocator_traits<std::allocator<BinTreeNode<int>**> >::allocate(std::allocator<BinTreeNode<int>**>&, unsigned long)
  0.00      2.35     0.00       22     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      2.35     0.00       22     0.00     0.23  void std::_Destroy<int*>(int*, int*)
  0.00      2.35     0.00       22     0.00     0.23  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      2.35     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      2.35     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      2.35     0.00       21     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      2.35     0.00       21     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      2.35     0.00       21     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      2.35     0.00       21     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      2.35     0.00       21     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      2.35     0.00       21     0.00     0.23  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      2.35     0.00       21     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      2.35     0.00       21     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      2.35     0.00       18     0.00     0.00  std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >::size() const
  0.00      2.35     0.00       18     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__niter_base<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > > >::base() const
  0.00      2.35     0.00       12     0.00     0.00  std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>::base() const
  0.00      2.35     0.00       12     0.00     0.00  std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>::move_iterator(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00       12     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>)
  0.00      2.35     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__miter_base<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00       12     0.00     0.00  std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*> std::__make_move_if_noexcept_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00       10     0.00     0.00  std::_Vector_base<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >::_M_get_Tp_allocator()
  0.00      2.35     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::max_size() const
  0.00      2.35     0.00        9     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> > const& std::forward<std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&>(std::remove_reference<std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&>::type&)
  0.00      2.35     0.00        8     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      2.35     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > > >::__normal_iterator(std::chrono::duration<long, std::ratio<1l, 1000000000l> >* const&)
  0.00      2.35     0.00        6     0.00     0.00  std::_Vector_base<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >::_M_get_Tp_allocator() const
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      2.35     0.00        6     0.00     0.00  std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >::max_size() const
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const*, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        6     0.00     0.00  std::_Deque_iterator<BinTreeNode<int>*, BinTreeNode<int>*&, BinTreeNode<int>**>::_Deque_iterator()
  0.00      2.35     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >::max_size(std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__copy_move_a<true, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__copy_move_a2<true, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::uninitialized_copy<std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__uninitialized_copy_a<std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::__uninitialized_move_if_noexcept_a<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&)
  0.00      2.35     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >* std::copy<std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::move_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        4     0.00     0.00  std::_Vector_base<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >::_M_deallocate(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, unsigned long)
  0.00      2.35     0.00        4     0.00     0.00  void std::_Destroy<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*>(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*)
  0.00      2.35     0.00        4     0.00     0.00  void std::_Destroy<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&)
  0.00      2.35     0.00        3     0.00     0.00  BenchMark::Lap()
  0.00      2.35     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::deallocate(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, unsigned long)
  0.00      2.35     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::allocate(unsigned long, void const*)
  0.00      2.35     0.00        3     0.00     0.00  void __gnu_cxx::new_allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::construct<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&>(std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      2.35     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>*>::new_allocator()
  0.00      2.35     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<BinTreeNode<int>*>::~new_allocator()
  0.00      2.35     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > > >::difference_type __gnu_cxx::operator-<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > > >(__gnu_cxx::__normal_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > > > const&, __gnu_cxx::__normal_iterator<std::chrono::duration<long, std::ratio<1l, 1000000000l> >*, std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > > > const&)
  0.00      2.35     0.00        3     0.00     0.00  std::vector<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::allocator<std::chrono::duration<long, std::ratio<1l, 1000000000l> > > >::_M_check_len(unsigned long, char const*) const
  0.00      2.35     0.00        3     0.00     0.00  std::allocator<BinTreeNode<int>*>::allocator()
  0.00      2.35     0.00        3     0.00     0.00  std::allocator<BinTreeNode<int>*>::~allocator()
